,Tara
c0,Bulgaria 
c3,Belgia Croatia Cipru Cehia Estonia Germania Grecia Ungaria Irlanda Italia Letonia Lituania Malta Olanda Polonia Romania Slovacia Slovenia Spania Suedia Marea Britanie 
c1,Portugalia 
c2,Austria Danemarca Finlanda Franta Luxemburg 
