,TARA
c0,DEU 
c1,FRA 
c2,BEL EST GRC CYP LVA LUX MLT SVN SWE ISL MNE MKD 
c5,ESP ITA NLD GBR 
c4,POL TUR UKR 
c3,BGR CZE DNK IRL HRV LTU HUN AUT PRT ROU SVK FIN NOR ALB SRB BIH MDA GEO 
