Cod,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
bh,0.27795782156433196,1.381268167047445,0.5847369453892273,-0.13036084575305174,-0.32931779543725126,0.10061666356938156,0.5861038111992848,-0.2547589348078407,0.19394411664630465,0.3581060476384473
bn,1.252368400401502,0.6104507720557405,-1.940058973217586,-0.815732302914247,0.2351951337029595,-1.082792064909858,-0.12606105712518836,1.0473820652424701,0.7736071700557693,1.1248474647952855
cj,1.400759831156766,-1.2975850906373463,-0.2201298892206607,0.604749204496272,1.115178510221467,-0.6313022190119248,0.07449277116535392,0.9070979133702226,1.0152394406265572,0.8119825362383719
mm,0.4658886404866612,0.8085480075190351,-0.24395198206171276,-0.06720149005088195,-1.53619911663385,-0.9845877649154686,-0.8879701683280679,-0.9298281844684674,-0.4639624324091606,0.972980715760292
sm,-0.3533872822682164,2.9374527628080482,0.29638743594556344,-2.14521835808716,-0.5854623372755227,-1.5319074987181038,0.14300689595377372,-0.17782740523875995,-0.3488725613805174,-1.5140542494519498
sj,0.8079048462023941,1.2687933592708627,-1.1447982387063995,0.6207233850824299,-0.15610575499386062,-0.2645641325790976,1.4385987906699675,-0.4036170001364331,-0.005710321847413452,1.9711284376288543
ab,0.18129102275952427,-0.8130069536131834,0.048741207896636114,0.33736124628638037,-1.5607604295539106,0.38702781483279136,-0.421513585758922,0.04061194677333378,0.32203153647487465,1.683363136386394
bv,1.1397371313021771,-0.9147989746859901,0.8855481341033329,0.29066845303791,0.5893077949005388,2.167447421909243,0.49568271311265744,1.1286658893490564,-4.116100560771761,0.057681073161469136
cv,0.5897575571342697,0.3598423048379521,-0.9757897886366563,-0.13348223803325646,0.18828289795529346,2.6522467458399768,0.2572493435103985,-0.36355136170465785,0.9930411380163648,0.10672233765138343
hr,0.6691336198138635,-0.03585145118720462,-1.3236411325749247,-0.9969033657947198,0.5731326758579685,0.7270957719143647,2.143112464608592,-0.6879568191242729,0.02013844224301769,0.23586929768391368
ms,0.25928466187751387,0.7308658076925395,-0.5473393412133971,-0.09583088387659339,0.9734109355169431,0.7276030702100669,1.2223392682618952,-0.024330577388224466,0.4018044022948107,0.4480962212598225
sb,1.1408023421439677,0.05220983915497456,0.2737435587898688,-0.47089842804937254,-0.5090519878446969,0.4438148019284904,0.0325460007547355,-0.14813748699009086,0.4338640311708978,1.2605115755883887
bc,-0.3523249159651085,-0.2772393764745703,-0.12787973950318207,0.16062129918933063,0.2486976006712917,0.33309600716590754,-1.4194041286754993,-1.4636371288669006,-0.581337368314971,-0.2525624983521237
bt,-0.593629011735277,0.8266526302559417,-0.659967303765997,0.43002023217375035,-0.5587810035980773,0.4627125467580358,-0.5627229555037545,-0.4039569164758388,0.09743151558635416,0.0874832645817054
