,Varianta,Varianta Cumulata,Procent varianta,Procent cumulat
0,4.836982690756777,4.836982690756777,40.308189089639804,40.308189089639804
1,2.1152759918046713,6.952258682561448,17.627299931705593,57.9354890213454
2,1.4897639105409308,8.44202259310238,12.414699254507758,70.35018827585316
3,1.1355450068661463,9.577567599968525,9.462875057217886,79.81306333307104
4,0.821443235059524,10.399010835028049,6.8453602921627,86.65842362523374
5,0.43134996091164385,10.830360795939693,3.594583007597032,90.25300663283078
6,0.374533285818004,11.204894081757697,3.1211107151500332,93.37411734798081
7,0.29691293741464786,11.501807019172345,2.4742744784553987,95.84839182643621
8,0.25500816221674744,11.756815181389092,2.1250680184728954,97.97345984490912
9,0.14240670796291263,11.899221889352004,1.1867225663576053,99.16018241126672
10,0.0892092582622809,11.988431147614286,0.7434104855190076,99.90359289678572
11,0.011568852385724606,12.00000000000001,0.09640710321437172,100.0000000000001
