,TARA
c0,DEU 
c1,FRA 
c2,POL TUR UKR 
c4,BEL BGR CZE DNK EST IRL GRC HRV CYP LVA LTU LUX HUN MLT AUT PRT ROU SVN SVK FIN SWE ISL NOR MNE MKD ALB SRB BIH MDA GEO 
c3,ESP ITA NLD GBR 
